Session,Subject,Epoch_len,Epoch_Start,Label,Condition,ECG_Rate_Mean,ECG_Rate_SD,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Rate_SD,Pupil_PctMax_Mean,Pupil_PctMax_Max,Pupil_PctMax_SD
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1680.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1710.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1740.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1770.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1800.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1830.0,silence,trill,407.8807764676675,8.35716680952832,76.40530127574876,0.6048116104301777,3.2150500102564967,95.7629144332454,98.883171558882,2.4749587436425293
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1860.0,silence,trill,390.37551268546696,20.10919116817998,70.32284788395795,0.6734580880180593,5.881151676340608,91.49959497914475,98.74868436440183,6.0303688084872595
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1890.0,silence,trill,388.428971254265,22.644657589086886,69.8335932188844,0.6502532962052592,5.564754544152146,93.4656148105696,100.40930885276576,6.019871825968892
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1920.0,silence,trill,387.68467203094184,9.298115535352032,69.86858152893248,0.6816631783907212,4.9257847680277065,90.37658894410858,97.09975441468835,5.904850467104101
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1950.0,silence,trill,377.8229060537824,12.504670024556848,67.46294707236356,0.7078432558530443,4.750289672096418,88.46257001868744,98.56741901531984,6.089822723932051
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,1980.0,silence,trill,370.7417506014245,15.618993254799888,67.60718659240129,0.6507207516625595,4.994541653996236,88.67726933858187,99.1638404864928,6.528728045893961
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2010.0,trill,trill,358.8030695111996,33.51313089186924,67.14686275409451,0.6581747095576198,6.961758045722345,90.42394747486387,101.30978832885043,7.75547143685658
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2040.0,washout,trill,368.3716730996206,17.24679033061791,71.95465638669356,0.6360647536124051,4.2037415553569515,91.24791926487472,98.54402993801894,4.865911727634889
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2070.0,silence,trill,361.2080788114696,32.789547837101956,66.99381114027884,0.6314864655190172,5.928903251103032,89.7823821775231,100.84200678283241,7.745893276924676
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2100.0,silence,trill,369.8653767460208,12.108397376794828,69.00898478759805,0.616759273739518,5.099094129920215,87.7168539013317,97.52660507542977,7.559714820553305
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2130.0,silence,trill,366.3819418127628,18.721729703340394,68.9354361996106,0.6036554267289251,5.87533978491806,86.98882700071289,97.47397965150275,7.702082544798854
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2160.0,silence,trill,351.2788919622008,29.524627134178154,65.54149473342875,0.6296150285477983,6.283579889186824,92.56640353954704,100.36253069816397,5.100175327505431
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2190.0,trill,trill,346.1324231519155,14.7970500244256,64.01142599846145,0.6866278900194743,5.662573774802646,84.91557846531542,96.87171091100456,6.838273539887538
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2220.0,washout,trill,342.5301518947051,28.435634428558327,66.90670458254378,0.6593376080383533,4.293064658189528,90.27203601917904,99.5789966085838,6.941255290514063
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2250.0,silence,trill,347.5071713022071,11.653295702586489,64.21658846337786,0.6542428680086011,4.188745458519735,81.14965973932519,96.31037305578295,7.662652275311639
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2280.0,silence,trill,343.05804211681215,12.736674728885898,62.09812972096018,0.6556505053122318,6.537614417281134,88.54082627306013,98.49140451409191,5.662389979306206
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2310.0,silence,trill,333.06299664762696,15.425288621748962,63.81209250336713,0.6477570119507221,6.779853865057374,83.52148945416168,97.33364518769734,8.988999884407589
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2340.0,silence,trill,345.58772636982786,16.51939365753023,61.91162053559781,0.6523991902576916,4.336141594256459,89.58042621919981,99.80704011226757,7.910145636373961
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2370.0,silence,trill,332.7987264830359,19.184992221107752,63.377173990074205,0.6622475744961793,6.6093603553272375,88.11478628288552,99.70178926441352,7.510577548427524
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2400.0,trill,trill,328.45113541191444,24.183642239256468,63.79172247577622,0.6826353270798872,5.956744542901181,92.59983153742856,100.63150508712431,7.3360791468854725
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2430.0,washout,trill,349.4866903232707,12.415488329776808,63.12912979083423,0.6692713767411513,5.745681141661558,88.0028898765821,97.89498304291897,6.187584904931523
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2460.0,silence,trill,332.9190632694035,23.539657148034188,64.77186217172223,0.6236410636115283,5.805615564212579,89.39220381825356,97.14653256929014,6.677059912186765
